"text","class_label"
123,"great app playing chess easy add friend play together its addictive i love playing rapid daily games lots different options choose "
124,"great app thing misses immediate move undo feature edit i confirmation enabled still undo nice i think similar product "
125,"really fun app super addicting some players take way seriously though clock will mess "
126,"great application best chess app ive ever used please update main app icon something colorful vibrant maybe use like silver pawn green blue squared background"
127,"unless cheating probably best stay away app its filled week old accounts playing best moves like grandmasters its just way easy cheat online chess way hard catch "
128,"the day started playing chess app amazing experience now many bugs i unable messege anyone niether friends opponent chess playfix also got three star many bots reinstalled app update stars got clefull review"
129,"the back button app longer works playing turn game i use android back button go main page"
130,"everything good player losing ive wait long auto resign ive waited around minutes i hope gets rectified"
131,"its gonna much cooler review brilliant moves it give feeling like just click button learn moves"
132,"the best chess app the development team app also extremely active this app one stop shop chess chess articles lessons everything need chess app and its free premium absolutely worth "
133,"fantastic chess app easy use easy connect friends social media widespread global use provides nearconstant partners random games"
134,"the game good i lost points bullet glitch timer even i move instantly shows i wasted seconds making move"
135,"its worst worst whenever play lose win just fix rages secondly many unemployed people playing losing dont move rest time waiting opponent resign wastes lot time full review"
136,"the game great play people online analysis gameplay really helps improve showing made mistakes"
137,"used love app play daily of late app able connect online players searching game disappointing"
138,"freezes mostly bullet game sometimes wonder happened refreshing will able know opponent resigned otherwise good app"
139,"its good app chess enthusiasts got offlinebot online matches you can even learn new moves techniques app"
140,"there bug app everytime i tend play computer bot game start even i made first move bot move pieces fix asap"
141,"after last update i m unable see icon screen obligated search playstore whenever i want play see notifications please consider solve problems"
142,"many people must playing mobile phone attend call lose game must respect basic time provided player stalling may genuine problem players app can detect whether phone ongoing keep game onn otherwise point mobifull review"
143," stuff pay makes sense free stuff need play game its good thanks developer peoples"
144,"great game enjoy both online offline fun fan chess gonna help challenge anyone world "
145,"i spend way much time playing haha there little bug sometimes i start new game app finalize result i still love "
146,"since month go app says invalid token trying puzzles mobile data wifi works fine you can lot without subscription"
147,"i love can play people offline online i play almost hour but i want free lesson i can make strategy higher thinking so can u please make lessons guide free"
148,"there difficulty tried get premium the app useful giving lots tools learn finding games fast easy"
149,"best chess game always someone play people amazing if curious game want learn best place go great skill levels"
150,"from past days server responding pls fix asap edit solution help i deleted reinstalled still getting server error"
151,"probably best online chess appstreamers gms also prefere perfect traning learning everything but give daily puzzles free analizing options"
152,"its worst chesa game ever played my game getting abandoned it shows auto resign every move simply loosing time god knows app works like one can play thanks reply its ok now"
153,"the thing im missing able repeat combination completing part lesson so way learn and just forgotten"
154,"awesome way learn game play online lots amazing content exercises ive already improved game lot by far best chess app i found"
155,"constant lag issues claims network issues app phone issues lose many games lag then stream k video right without issue"
156,"i came problem app rematch opponent late showing notification lately can u please solve still problem facing lot issues"
157,"this app much offer other chess apps let play players whereas one much infinite puzzles small training videos analysis games openings tactics etc download one ucufefufc"
158,"a great chess game unlike many others much options also connects people together sophisticated chess"
159,"its chess really mess chess the bots good i high iq im pretty bad chess probably definitive chess app"
160,"the adding time opponents clock unexceptable i think developers take healthy pride awesomeness app guess i wrong "
161,"great game hate take chess lessons level can one lesson week free edition soits pretty big wait lessons"
162,"this game worked well first two weeks after connectivity issues resolved till now"
163,"good app easy use ideal new chess limited unless go upgradegraphics improved"
164,"great site playing learning chess although i think number times can analyse without buying membership little times day"
