"doc_id","screen_name","text"
"1421023955385716737","Iva_Firdayanti","@rufidzmaulina Tp no iki aneh pid. Lha kyk gini apa nggak nyebar2ne covid e keluar. Itu yg momong jd kena jg kan malihan gra2 nyuruh plang bayi dg alasan bed e full. Kan lbh aman RG sm ibunya wong sama2 +."
"1421023943989682182","igiT_0403","Kren <U+0001F44D>
Mahasiswa Se - Jateng siyap Membantu Pemerintah utk Menangani Covid 19. #JatengMemanggil https://t.co/t3uc8hmxQH"
"1421018985533906947","igiT_0403","Yuk Teman2 Mahasiswa se-Jateng, Mari bersama-sama  Bergerak untuk  melawan Covid 19. #JatengMemanggil https://t.co/mtpgcEh32i"
"1421017760532815876","lampungpostid","Kecamatan Sekampungudik kembali menjadi penyumbang terbanyak kasus terkonfirmasi positif Covid-19 Lampung Timur, Kamis (29/7).

#sekampungudik #COVID19 #coronavirus #CoronavirusPandemic #lampungpostid
https://t.co/8ntJv2GjoL"
"1421023913132261376","lampungpostid","Kerja keras Pemerintah Provinsi (Pemprov) Lampung dalam menangani pandemi Covid-19 mulai menuai hasil.

#pandemi #COVID19 #coronavirus #COVID19 #lampung #ppkmdarurat #PPKM #lampungpostid
 https://t.co/CGL3zFTBbu"
"1421017365915963392","lampungpostid","Pemprov Sumsel memanfaatkan stok vaksin darurat yang tersisa di gudang vaksin Dinas Kesehatan (Dinkes) untuk melanjutkan vaksinasi Covid-19.  

#stokvaksin #vaksinasi #vaksin #dinaskesehatan #COVID19 #sumatraselatan #lampungpostid
https://t.co/9DRVdHSAUB"
"1421023906769498121","vanyasunanto","@andienas @bitchinomics gw abis baca geng hippies pecinta damai pembenci vaksin yang nulis bahwa dia minum ivermectin 12 tablet untuk melindungi diri dari covid tanpa harus divaksin. https://t.co/6Rl78iboG7"
"1421018406489366529","detikHealth","Keadaan pandemi COVID-19 mengharuskan banyak kegiatan untuk dilakukan secara online. Tentunya, hal ini akan berpengaruh pada kesehatan mata. Lalu, apa yang bisa dilakukan untuk mengatasi mata lelah? Simak di e-Life pukul 19.00 WIB. https://t.co/4omfAqcVgP"
"1421023906408849409","detikHealth","Tidak semua pasien Corona bisa menjalani isolasi mandiri. Satgas COVID-19 mengungkap empat kondisi yang mengharuskan pasien dirawat tempat isolasi terpusat. https://t.co/Xmco7xIPBe"
"1420976095256530944","detikHealth","Indonesia mendapat nilai terburuk ketahanan pandemi COVID-19 dunia per Juli, menurut analisis Bloomberg. Angka kematian tinggi-cakupan vaksinasi rendah disorot. https://t.co/pIyE57oZOv"
"1420990937799577603","detikHealth","Angka kematian COVID-19 di Indonesia per Juli tertinggi selama pandemi. Satgas mewanti-wanti empat kondisi berikut tidak boleh menjalani isolasi mandiri. https://t.co/f1O156usCm"
"1421009115397201929","detikHealth","Dilaporkan telah menyebar ke hampir seluruh wilayah RI, varian Delta disebut Kemenkes sebagai salah satu penyebab tingginya angka kematian akibat COVID-19. https://t.co/VOr0H68ApO"
"1420997746924863493","detikHealth","Seorang profesor di School of Life Sciences di Sun Yat-sen University menekankan bahwa virus penyebab Covid-19 tidak mungkin berasal dari laboratorium Wuhan. https://t.co/oorj10nazt"
"1420980299446489090","detikHealth","Keadaan pandemi COVID-19 mengharuskan banyak kegiatan untuk dilakukan secara online. Tentunya, hal ini akan berpengaruh pada kesehatan mata. https://t.co/lYWURdI68q"
"1420987345986281473","detikHealth","Sistem perawatan kesehatan merenggang akibat angka infeksi dan kematian yang melonjak. Thailand mengeluarkan peringatan kurangnya tempat tidur RS. https://t.co/WLq5Q5FPR7"
"1420965527623806979","detikHealth","Vaksinasi booster atau dosis ketiga diprioritaskan untuk nakes. Namun, ada selebgram yang mengaku sudah mendapat vaksinasi ketiga. Apa kata Satgas Covid-19? https://t.co/nCsJpfH9wT"
"1420983872855158787","detikHealth","Peneliti AstraZeneca asal RI, Indra Rudiansyah, angkat bicara soal booster vaksin COVID-19. Antibodi disebut menurun setelah 6 bulan, benarkah perlu booster? https://t.co/aXaPGPa1Rv"
"1420968993557565442","detikHealth","Sistem perawatan kesehatan merenggang akibat angka infeksi dan kematian yang melonjak. Thailand mengeluarkan peringatan kurangnya tempat tidur RS. https://t.co/xezxVWi6K1"
"1421020467691986944","detikHealth","Guna atasi pandemi COVID-19, wajib vaksin pun jadi syarat bagi warga untuk beraktivitas di Ibu Kota. Program vaksinasi COVID-19 pun terus digenjot di Jakarta. https://t.co/dqGKR13zit"
